steps: 10000
rand_range: (-0.05, 0.05)


Expression || Steps without change || Distance to next change || Distance since start || Norm || Is Unique || Coordinates
(sin((X/X)^3))^5 || 19 || 1.2399015426635742 || 13.614352226257324 || 14.207781791687012 || True || None
(sqrt((X/X)^3))^5 || 14 || 0.7554777264595032 || 13.919432640075684 || 14.329263687133789 || True || None
(sqrt(sin(X/X)))^5 || 0 || 0.28703099489212036 || 13.85971450805664 || 14.209315299987793 || True || None
(sqrt(sin(log(X))))^5 || 0 || 0.24149414896965027 || 13.874267578125 || 14.21643352508545 || True || None
(sqrt(sin(X/X)))^5 || 5 || 0.6558470726013184 || 13.842641830444336 || 14.163267135620117 || False || None
(sqrt((X/X)^3))^5 || 0 || 0.3269721269607544 || 13.876246452331543 || 14.184666633605957 || False || None
(sqrt(sin(X/X)))^5 || 1 || 0.32654377818107605 || 13.82712173461914 || 14.161775588989258 || False || None
(sqrt((X/X)^3))^5 || 0 || 0.2587366998195648 || 13.710078239440918 || 14.011585235595703 || False || None
(sqrt(sin(X/X)))^5 || 9 || 0.788104236125946 || 13.67074966430664 || 13.967425346374512 || False || None
sqrt(sin(X/X))*X^5 || 1 || 0.38152334094047546 || 13.974129676818848 || 14.217778205871582 || True || None
(sqrt(sin(X/X)))^5 || 0 || 0.2989078760147095 || 14.049415588378906 || 14.289236068725586 || False || None
sqrt(sin(log(X)))*X^5 || 0 || 0.2851158678531647 || 14.14207935333252 || 14.390544891357422 || True || None
(sqrt(sin(log(X))))^5 || 1 || 0.3931330740451813 || 14.116009712219238 || 14.3883638381958 || False || None
(sqrt(sin(X/X)))^5 || 1 || 0.41666412353515625 || 14.02364730834961 || 14.324121475219727 || False || None
(sqrt(sin(log(X))))^5 || 116 || 2.849447011947632 || 14.09284782409668 || 14.409012794494629 || False || None
(sin(sin(log(X))))^5 || 2 || 0.4363171458244324 || 14.69536018371582 || 15.110559463500977 || True || None
(sin(sin(log(sin(X)))))^5 || 1 || 0.28849899768829346 || 14.774286270141602 || 15.16378116607666 || True || None
(sin(sin(log(X))))^5 || 1 || 0.41659414768218994 || 14.751959800720215 || 15.16788387298584 || False || None
